Timestamp,Central America,Africa,Middle East,Oceania,South America,Russia,Asia,Europe,North America
2024-06-14 22:30:00,80,84,702,225,2058,820,1661,4481,6222
2024-06-14 22:40:00,80,80,676,231,2058,789,1661,4245,6277
2024-06-14 22:50:00,82,80,674,245,2104,752,1667,4000,6305
2024-06-14 23:00:00,85,77,651,253,2130,722,1710,3809,6426
2024-06-14 23:10:00,86,73,649,272,2157,696,1756,3601,6487
2024-06-14 23:20:00,86,72,629,290,2184,658,1816,3418,6577
2024-06-14 23:30:00,89,72,606,317,2198,638,1885,3276,6603
2024-06-14 23:40:00,90,70,592,326,2203,602,1990,3037,6606
2024-06-14 23:50:00,91,69,584,336,2203,577,2112,2879,6669
2024-06-15 00:00:00,94,67,564,348,2180,547,2291,2691,6695
2024-06-15 00:10:00,94,66,556,366,2172,522,2468,2568,6790
2024-06-15 00:20:00,93,64,543,383,2172,517,2722,2455,6849
2024-06-15 00:30:00,93,60,527,395,2178,498,2951,2327,6859
2024-06-15 00:40:00,95,60,519,414,2178,470,3168,2230,6914
2024-06-15 00:50:00,96,60,495,421,2169,456,3409,2108,7028
2024-06-15 01:00:00,98,59,493,432,2154,455,3687,1987,7109
2024-06-15 01:10:00,98,58,484,447,2146,447,3978,1922,7182
2024-06-15 01:20:00,98,56,472,454,2117,442,4209,1825,7182
2024-06-15 01:30:00,99,56,465,458,2079,423,4448,1730,7164
2024-06-15 01:40:00,99,55,449,471,2054,405,4727,1650,7164
2024-06-15 01:50:00,99,54,423,480,2045,402,4968,1564,7209
2024-06-15 02:00:00,98,53,412,490,2036,394,5197,1503,7214
2024-06-15 02:10:00,98,51,406,504,2028,389,5437,1439,7226
2024-06-15 02:20:00,98,51,390,506,1981,378,5709,1396,7214
2024-06-15 02:30:00,98,47,377,514,1947,376,5898,1348,7183
2024-06-15 02:40:00,97,47,369,521,1936,371,6151,1288,7156
2024-06-15 02:50:00,92,44,346,532,1893,362,6365,1239,7138
2024-06-15 03:00:00,92,44,338,544,1850,362,6600,1197,7100
2024-06-15 03:10:00,93,43,328,547,1805,366,6777,1155,7073
2024-06-15 03:20:00,93,43,314,547,1730,370,7013,1123,7008
2024-06-15 03:30:00,92,43,297,554,1660,374,7153,1081,6932
2024-06-15 03:40:00,91,43,288,554,1604,386,7334,1032,6799
2024-06-15 03:50:00,87,42,281,557,1540,395,7662,1010,6667
2024-06-15 04:00:00,87,41,277,557,1494,404,7998,991,6522
2024-06-15 04:10:00,87,41,276,563,1432,415,8230,989,6477
2024-06-15 04:20:00,85,41,272,577,1351,430,8416,989,6232
2024-06-15 04:30:00,82,42,268,578,1298,442,8602,989,6152
2024-06-15 04:40:00,81,42,265,578,1255,450,8809,1000,6000
2024-06-15 04:50:00,80,42,265,578,1177,469,8930,1001,5845
2024-06-15 05:00:00,75,42,261,582,1105,492,9096,1054,5666
2024-06-15 05:10:00,70,42,261,582,1043,513,9189,1073,5587
2024-06-15 05:20:00,70,42,263,595,998,543,9411,1124,5362
2024-06-15 05:30:00,70,43,267,598,959,559,9516,1161,5153
2024-06-15 05:40:00,66,44,271,598,896,586,9622,1238,4977
2024-06-15 05:50:00,64,46,285,599,827,619,9622,1338,4755
2024-06-15 06:00:00,59,48,289,594,776,628,9622,1421,4601
2024-06-15 06:10:00,58,50,303,587,756,664,9737,1525,4447
2024-06-15 06:20:00,57,51,310,587,727,699,9868,1659,4296
2024-06-15 06:30:00,54,52,333,594,674,718,9911,1782,4157
2024-06-15 06:40:00,52,55,342,594,641,751,9975,1928,3973
2024-06-15 06:50:00,51,55,367,586,598,783,10024,2089,3887
2024-06-15 07:00:00,51,57,379,584,551,829,10024,2237,3738
2024-06-15 07:10:00,46,60,400,584,534,859,10038,2415,3650
2024-06-15 07:20:00,45,63,412,588,506,890,10033,2606,3501
2024-06-15 07:30:00,45,65,426,588,470,918,10038,2804,3388
2024-06-15 07:40:00,43,69,442,593,445,939,10089,3007,3253
2024-06-15 07:50:00,43,75,463,593,423,974,10089,3202,3108
2024-06-15 08:00:00,40,75,480,593,410,1006,10089,3411,2995
2024-06-15 08:10:00,39,75,509,593,381,1048,10148,3620,2901
2024-06-15 08:20:00,37,75,530,589,371,1074,10164,3834,2871
2024-06-15 08:30:00,35,79,553,585,349,1100,10164,4072,2721
2024-06-15 08:40:00,32,80,565,585,324,1129,10156,4246,2647
2024-06-15 08:50:00,31,84,581,583,303,1172,10156,4459,2568
2024-06-15 09:00:00,30,84,599,581,289,1195,10279,4632,2557
2024-06-15 09:10:00,29,86,618,574,286,1235,10283,4782,2557
2024-06-15 09:20:00,27,88,635,568,278,1240,10291,4908,2557
2024-06-15 09:30:00,27,91,651,570,258,1249,10358,5067,2323
2024-06-15 09:40:00,25,91,673,570,245,1277,10426,5211,2231
2024-06-15 09:50:00,24,91,687,571,245,1287,10530,5393,2123
2024-06-15 10:00:00,24,95,694,571,251,1305,10606,5576,2107
2024-06-15 10:10:00,23,95,710,571,251,1325,10663,5692,2103
